epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2212.71,1.0029,0.6737,1.12714,0.02172,0.10088,0.01087,0.00521,1.14974,5.89441,1.17309,0.000494885,0.000494885,0.000494885
43,2268.01,1.00779,0.67344,1.11458,0.02237,0.1933,0.00835,0.00317,1.14172,6.01185,1.16974,0.000486639,0.000486639,0.000486639
44,2320.11,0.99009,0.65384,1.11306,0.02966,0.08202,0.00776,0.00364,1.12608,5.89643,1.16672,0.000478392,0.000478392,0.000478392
45,2373.51,0.97072,0.66661,1.10894,0.04322,0.12807,0.02139,0.01064,1.13639,5.30909,1.17407,0.000470145,0.000470145,0.000470145
46,2426.05,0.98868,0.66919,1.10118,0.03852,0.09549,0.01049,0.00491,1.10906,5.71478,1.15027,0.000461898,0.000461898,0.000461898
47,2478.75,0.98813,0.65377,1.11237,0.02227,0.19374,0.00786,0.0034,1.12034,5.48774,1.15245,0.000453652,0.000453652,0.000453652
48,2532.71,0.95144,0.61117,1.08209,0.04384,0.21128,0.01492,0.00824,1.14211,5.52028,1.16765,0.000445405,0.000445405,0.000445405
49,2584.33,0.94542,0.59657,1.09825,0.06518,0.17356,0.02779,0.01473,1.13117,5.39329,1.18698,0.000437158,0.000437158,0.000437158
50,2638.18,0.97504,0.62901,1.1017,0.05183,0.1797,0.0228,0.01326,1.09346,5.23622,1.15435,0.000428912,0.000428912,0.000428912
51,2689.94,0.9322,0.60225,1.07608,0.02805,0.06535,0.00483,0.00217,1.07486,5.89396,1.13462,0.000420665,0.000420665,0.000420665
52,2743.58,0.95914,0.62076,1.1114,0.02495,0.07851,0.00727,0.00286,1.13846,6.05384,1.16469,0.000412418,0.000412418,0.000412418
53,2796.42,0.93653,0.59383,1.07897,0.02973,0.07105,0.00576,0.00277,1.09997,5.8542,1.15006,0.000404172,0.000404172,0.000404172
54,2850.25,0.91581,0.57889,1.05876,0.0376,0.1136,0.01782,0.00931,1.07534,5.60932,1.1376,0.000395925,0.000395925,0.000395925
55,2904.18,0.92717,0.58468,1.07306,0.02404,0.12368,0.00547,0.0024,1.097,6.13215,1.14393,0.000387678,0.000387678,0.000387678
56,2956.65,0.90826,0.55259,1.06103,0.02669,0.22281,0.0097,0.00431,1.09764,6.22712,1.144,0.000379431,0.000379431,0.000379431
