epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1618,1.25578,0.81073,0.99597,0.52681,0.26713,0.2592,0.13385,1.68683,1.64511,1.26211,0.000494885,0.000494885,0.000494885
43,1657.3,1.23427,0.80103,0.98881,0.57009,0.23805,0.2645,0.13738,1.68534,1.58276,1.24066,0.000486639,0.000486639,0.000486639
44,1695.29,1.2408,0.79332,0.97235,0.49928,0.23413,0.24519,0.11978,1.67646,1.62997,1.27092,0.000478392,0.000478392,0.000478392
45,1733.35,1.22533,0.80611,0.98828,0.56447,0.2381,0.25364,0.13458,1.68121,1.60573,1.23895,0.000470145,0.000470145,0.000470145
46,1771.41,1.1979,0.76476,0.96703,0.60243,0.23429,0.25842,0.13882,1.64184,1.33024,1.22658,0.000461898,0.000461898,0.000461898
47,1809.56,1.24211,0.7909,0.97496,0.37491,0.28034,0.25786,0.13639,1.69659,1.43766,1.2577,0.000453652,0.000453652,0.000453652
48,1847.6,1.1831,0.75382,0.97733,0.40287,0.28967,0.27212,0.13981,1.73284,1.8228,1.29657,0.000445405,0.000445405,0.000445405
49,1885.43,1.17552,0.77479,0.97832,0.52698,0.26136,0.26661,0.14368,1.68137,1.66086,1.20296,0.000437158,0.000437158,0.000437158
50,1923.56,1.16652,0.73811,0.96796,0.58276,0.2632,0.27171,0.14265,1.70936,1.73631,1.26789,0.000428912,0.000428912,0.000428912
51,1961.69,1.20381,0.73414,0.96494,0.56077,0.27622,0.28465,0.14403,1.76168,1.84794,1.32427,0.000420665,0.000420665,0.000420665
52,1999.54,1.14872,0.72659,0.95177,0.52268,0.2628,0.27538,0.13722,1.71101,1.7651,1.2376,0.000412418,0.000412418,0.000412418
53,2037.57,1.13167,0.72469,0.94863,0.55466,0.28268,0.28431,0.14214,1.64157,1.87083,1.19714,0.000404172,0.000404172,0.000404172
54,2075.56,1.14094,0.6981,0.933,0.52918,0.24587,0.27088,0.14843,1.63687,1.43593,1.17206,0.000395925,0.000395925,0.000395925
55,2113.65,1.15345,0.69783,0.94688,0.51164,0.2977,0.27994,0.14273,1.72721,1.84624,1.24346,0.000387678,0.000387678,0.000387678
56,2151.64,1.11738,0.69557,0.92134,0.50968,0.30175,0.26769,0.13654,1.64327,1.67304,1.17684,0.000379431,0.000379431,0.000379431
