experiment,validation_images,precision,recall,f1,map50,map50_95,best_checkpoint_sha256
DAWN_FOG,78,0.736063,0.509258,0.602007,0.553911,0.349038,c523cc15f7abc5b2aed1722d1f2ba2744ab3b6c0232a27db346209f777517392
DAWN_RAIN,42,0.971592,0.986420,0.978950,0.991635,0.888040,66307bc4bc1a711158d6dc138f2268fec04b6aaf266fbcf1a4bc994e61d1b324
DAWN_ENTIRE,120,0.848968,0.578431,0.688062,0.627872,0.436684,b82b4f5fa0550ac3376a30909f6f7707069596c36da613cbbeb39e7f3880a903
COMBINED,526,0.581582,0.439775,0.500834,0.446463,0.271198,e539bd2515215ef27ac5d077506a9bb6d6474b2d626eb2cdf2501aa7643b84cc

