epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,962.137,0.92647,0.62412,1.0763,0.03664,0.22647,0.01017,0.00414,1.32612,5.79683,1.28872,0.000494885,0.000494885,0.000494885
43,984.518,0.9025,0.57231,1.04477,0.02974,0.26977,0.00989,0.00328,1.31003,6.02907,1.262,0.000486639,0.000486639,0.000486639
44,1007.48,0.88823,0.56407,1.04246,0.01454,0.28588,0.00461,0.00181,1.31552,6.276,1.26544,0.000478392,0.000478392,0.000478392
45,1029.76,0.90537,0.54301,1.02344,0.0167,0.24887,0.00668,0.00176,1.33821,5.91096,1.28838,0.000470145,0.000470145,0.000470145
46,1052.38,0.84915,0.55361,1.03715,0.03015,0.29689,0.00925,0.00347,1.31912,5.88254,1.26733,0.000461898,0.000461898,0.000461898
47,1074.81,0.86566,0.53656,1.02568,0.03205,0.25819,0.01086,0.00423,1.34039,5.93586,1.27706,0.000453652,0.000453652,0.000453652
48,1097.7,0.84579,0.54203,1.02692,0.02706,0.10452,0.00524,0.00251,1.29902,6.04813,1.25532,0.000445405,0.000445405,0.000445405
49,1120.2,0.8166,0.53178,1.02117,0.03647,0.10226,0.00692,0.00324,1.35105,5.89892,1.29118,0.000437158,0.000437158,0.000437158
50,1142.62,0.86821,0.53747,1.0024,0.02823,0.1113,0.00733,0.00305,1.36858,5.97777,1.30206,0.000428912,0.000428912,0.000428912
51,1164.77,0.87008,0.5911,1.05042,0.01934,0.09944,0.00343,0.00131,1.36869,6.22949,1.31538,0.000420665,0.000420665,0.000420665
52,1187.73,0.80099,0.50623,0.99975,0.02801,0.20508,0.00716,0.00258,1.34315,6.03824,1.29139,0.000412418,0.000412418,0.000412418
53,1210.46,0.8451,0.53112,1.01006,0.03494,0.2113,0.00931,0.00347,1.32315,6.28673,1.267,0.000404172,0.000404172,0.000404172
54,1233.29,0.80247,0.51893,1.00191,0.00874,0.14774,0.00252,0.00107,1.37014,6.15976,1.26308,0.000395925,0.000395925,0.000395925
55,1255.79,0.81977,0.51368,0.98955,0.03174,0.12486,0.00429,0.00198,1.30882,6.36267,1.23722,0.000387678,0.000387678,0.000387678
56,1278.44,0.77114,0.48142,0.99076,0.02693,0.12316,0.004,0.00138,1.33675,6.34122,1.26969,0.000379431,0.000379431,0.000379431
57,1301.59,0.8251,0.51753,0.99661,0.02559,0.12486,0.00393,0.00143,1.32578,6.38369,1.27726,0.000371185,0.000371185,0.000371185
58,1325.12,0.83147,0.50626,0.99748,0.03125,0.12288,0.00678,0.00291,1.34186,5.95636,1.27887,0.000362938,0.000362938,0.000362938
59,1347.52,0.82159,0.5136,0.9933,0.02707,0.12401,0.00617,0.00261,1.32532,5.98337,1.27574,0.000354691,0.000354691,0.000354691
60,1370.14,0.77856,0.506,1.00716,0.01893,0.06384,0.00313,0.00129,1.32777,6.27258,1.26237,0.000346445,0.000346445,0.000346445
61,1392.4,0.81219,0.50668,0.98491,0.02537,0.19548,0.00559,0.00222,1.32714,6.15868,1.25125,0.000338198,0.000338198,0.000338198
62,1415.04,0.74926,0.47049,0.98537,0.03839,0.10621,0.00783,0.00365,1.32271,6.20735,1.24656,0.000329951,0.000329951,0.000329951
63,1437.27,0.77046,0.48014,0.99414,0.03739,0.09605,0.00578,0.00223,1.33883,6.39371,1.26054,0.000321705,0.000321705,0.000321705
64,1459.71,0.75355,0.4702,0.97421,0.02617,0.12881,0.00432,0.00186,1.34745,6.36208,1.27943,0.000313458,0.000313458,0.000313458
65,1482.1,0.74589,0.44787,0.96878,0.03451,0.23785,0.0077,0.00352,1.34132,6.35158,1.28956,0.000305211,0.000305211,0.000305211
