epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1578.06,1.03089,0.691,0.94006,0.23092,0.27338,0.18894,0.10149,1.40017,1.0715,1.16743,0.000494885,0.000494885,0.000494885
43,1615.2,1.06522,0.73097,0.96132,0.40667,0.26233,0.22121,0.11509,1.37858,0.99607,1.17028,0.000486639,0.000486639,0.000486639
44,1652.02,1.02957,0.72461,0.94053,0.43924,0.26333,0.23569,0.13043,1.35103,0.97994,1.15163,0.000478392,0.000478392,0.000478392
45,1688.88,1.03119,0.67446,0.91813,0.32973,0.29285,0.25274,0.13381,1.38466,0.99686,1.15828,0.000470145,0.000470145,0.000470145
46,1725.56,1.02176,0.67142,0.91743,0.23775,0.29229,0.22933,0.12307,1.31873,0.9623,1.13083,0.000461898,0.000461898,0.000461898
47,1762.23,0.9864,0.67072,0.92047,0.28126,0.32632,0.22499,0.11812,1.34207,1.01019,1.12253,0.000453652,0.000453652,0.000453652
48,1799.09,0.991,0.64558,0.90118,0.33866,0.24128,0.21748,0.12052,1.35675,1.00622,1.15432,0.000445405,0.000445405,0.000445405
49,1835.94,1.00267,0.63768,0.91946,0.42203,0.26018,0.23321,0.12704,1.35335,0.95369,1.18217,0.000437158,0.000437158,0.000437158
50,1872.84,1.00413,0.65189,0.92354,0.44506,0.26081,0.2389,0.12946,1.32133,1.0083,1.16453,0.000428912,0.000428912,0.000428912
51,1911.03,1.00715,0.64989,0.92279,0.30932,0.26794,0.23931,0.13015,1.29922,0.95563,1.13105,0.000420665,0.000420665,0.000420665
52,1948.05,0.99819,0.62743,0.90956,0.36971,0.30157,0.23646,0.12786,1.3142,1.00965,1.11645,0.000412418,0.000412418,0.000412418
53,1984.87,1.00854,0.64925,0.93094,0.42708,0.25765,0.23037,0.11319,1.35088,0.95481,1.13051,0.000404172,0.000404172,0.000404172
54,2021.72,0.95327,0.60613,0.89713,0.32053,0.30089,0.24134,0.12925,1.32791,0.93365,1.13362,0.000395925,0.000395925,0.000395925
55,2058.99,0.92678,0.58837,0.89382,0.28816,0.28701,0.2567,0.14166,1.35697,0.97567,1.16367,0.000387678,0.000387678,0.000387678
56,2096.84,0.9527,0.61194,0.88823,0.26034,0.27858,0.24041,0.12093,1.36758,1.00491,1.14219,0.000379431,0.000379431,0.000379431
57,2134.37,0.94849,0.59565,0.90137,0.32906,0.31293,0.27607,0.15036,1.35136,0.96748,1.15501,0.000371185,0.000371185,0.000371185
58,2171.62,0.9476,0.60526,0.89563,0.36964,0.26862,0.26706,0.1449,1.33507,0.9519,1.15507,0.000362938,0.000362938,0.000362938
59,2209.49,0.90596,0.5839,0.88587,0.37544,0.28762,0.26426,0.14028,1.33059,0.91683,1.14194,0.000354691,0.000354691,0.000354691
60,2246.86,0.95894,0.60443,0.88926,0.28819,0.29615,0.23518,0.13005,1.32955,0.96783,1.14796,0.000346445,0.000346445,0.000346445
61,2283.92,0.87772,0.57929,0.89173,0.3154,0.27988,0.24217,0.13075,1.3162,0.985,1.12981,0.000338198,0.000338198,0.000338198
62,2321.11,0.90259,0.58541,0.88507,0.42464,0.27525,0.26037,0.13604,1.29282,0.94789,1.13928,0.000329951,0.000329951,0.000329951
63,2358.57,0.88927,0.57807,0.88625,0.39659,0.28363,0.28395,0.15587,1.31262,0.96148,1.13446,0.000321705,0.000321705,0.000321705
64,2396.44,0.92736,0.58127,0.8957,0.37368,0.29237,0.27823,0.15358,1.3488,0.94418,1.15656,0.000313458,0.000313458,0.000313458
65,2433.64,0.9181,0.56362,0.88143,0.36678,0.32137,0.27894,0.15562,1.33042,0.92152,1.15553,0.000305211,0.000305211,0.000305211
66,2471.02,0.86723,0.5417,0.88037,0.36544,0.28924,0.25073,0.13243,1.32085,0.93508,1.16024,0.000296964,0.000296964,0.000296964
67,2509.26,0.84385,0.51844,0.87558,0.3553,0.26038,0.2519,0.1359,1.32349,0.93067,1.15711,0.000288718,0.000288718,0.000288718
68,2546.66,0.86616,0.54645,0.87902,0.27072,0.31918,0.24105,0.13128,1.32125,0.92257,1.17197,0.000280471,0.000280471,0.000280471
69,2584.1,0.83841,0.51692,0.87754,0.33664,0.26517,0.24874,0.13566,1.32812,0.91147,1.16285,0.000272224,0.000272224,0.000272224
70,2621.53,0.85413,0.53307,0.87403,0.32097,0.28781,0.24472,0.13613,1.32249,0.93633,1.15484,0.000263978,0.000263978,0.000263978
71,2658.37,0.84423,0.52046,0.87341,0.32918,0.2603,0.25488,0.13976,1.32726,0.97669,1.12814,0.000255731,0.000255731,0.000255731
72,2695.33,0.85156,0.52837,0.87543,0.33217,0.31644,0.26641,0.14773,1.32367,0.94072,1.14541,0.000247484,0.000247484,0.000247484
73,2732.25,0.81252,0.5088,0.8708,0.34014,0.33043,0.27355,0.15988,1.3294,0.91902,1.16642,0.000239238,0.000239238,0.000239238
74,2769.48,0.81871,0.51003,0.86052,0.34322,0.35017,0.27277,0.1495,1.31383,0.9273,1.15246,0.000230991,0.000230991,0.000230991
75,2806.97,0.82575,0.51045,0.87008,0.32757,0.32042,0.25319,0.14521,1.35277,0.93614,1.17777,0.000222744,0.000222744,0.000222744
76,2844.35,0.82365,0.50973,0.86132,0.40968,0.26163,0.27005,0.14506,1.34516,0.98622,1.17189,0.000214497,0.000214497,0.000214497
77,2881.26,0.8229,0.5016,0.86717,0.34515,0.3044,0.27577,0.15039,1.32277,0.90999,1.16694,0.000206251,0.000206251,0.000206251
78,2918.34,0.83556,0.50835,0.87604,0.42455,0.27584,0.26893,0.14563,1.33302,0.94937,1.16539,0.000198004,0.000198004,0.000198004
79,2955.1,0.81842,0.50079,0.85252,0.39231,0.29537,0.2668,0.14537,1.30623,0.9305,1.14108,0.000189757,0.000189757,0.000189757
80,2992.08,0.77412,0.48157,0.84676,0.43117,0.27603,0.26638,0.13687,1.29899,0.93744,1.14809,0.000181511,0.000181511,0.000181511
81,3029.27,0.79432,0.48911,0.85541,0.55667,0.23999,0.28132,0.15385,1.29018,0.90511,1.14757,0.000173264,0.000173264,0.000173264
82,3066.71,0.78792,0.48083,0.85527,0.54209,0.31425,0.27703,0.14598,1.31089,0.9184,1.14916,0.000165017,0.000165017,0.000165017
83,3105.07,0.79428,0.47677,0.85815,0.52337,0.27769,0.27845,0.14904,1.29114,0.92026,1.14628,0.000156771,0.000156771,0.000156771
84,3142.4,0.75267,0.45946,0.84646,0.36012,0.3162,0.26919,0.14439,1.2781,0.91006,1.14102,0.000148524,0.000148524,0.000148524
85,3179.55,0.76674,0.46958,0.8464,0.48705,0.32099,0.27021,0.1479,1.27884,0.90605,1.14043,0.000140277,0.000140277,0.000140277
86,3216.52,0.74444,0.45572,0.84863,0.49993,0.29319,0.2644,0.14369,1.28933,0.89705,1.14872,0.000132031,0.000132031,0.000132031
87,3253.59,0.75408,0.45572,0.84385,0.32537,0.33716,0.27247,0.14854,1.26318,0.88324,1.14582,0.000123784,0.000123784,0.000123784
88,3290.73,0.76107,0.4627,0.83832,0.38927,0.30403,0.26289,0.14285,1.28217,0.88841,1.15566,0.000115537,0.000115537,0.000115537
89,3327.52,0.79988,0.46979,0.85007,0.36963,0.33688,0.27579,0.14535,1.28139,0.88529,1.15695,0.00010729,0.00010729,0.00010729
